Date,Total_Portfolio (EUR) - excluding initial 50â‚¬ for transaction fees,Gain % (Minus Transac fees 50E),"Cumul_Gain 
(base 1000)"
2025-01-07 00:00:00,1000.0,0.0,1.0
2025-02-08 00:00:00,1163.491,0.22472736842105268,1.163491
2025-03-03 00:00:00,1799.32,0.6159268462879359,1.79932
2025-03-29 00:00:00,2286.44,0.3070450232090185,2.2864400000000002
2025-04-15 00:00:00,3436.0000000000005,0.5363703028026687,3.4360000000000004
2025-05-31 00:00:00,5108.8150000000005,0.5088053750738333,5.108815000000001
31/06/2025,3679.535,-0.2726488317916351,3.679535
2025-07-31 00:00:00,4518.903,0.24503634763130822,4.518903
2025-08-04 00:00:00,5639.202,0.2618761248565924,5.639202
2025-08-30 00:00:00,8026.08,0.43599748228816915,8.02608
2025-09-26 00:00:00,12605.744999999999,0.5804436515180389,12.605744999999999
Today,14041.63,0.11834303739045349,14.04163
,,,
